CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,new_Credit_Limit,new_Avg_Utilization_Ratio,new_Avg_Open_To_Buy,new_level_Education_Level,new_level_Gender,new_level_Income_Category,new_level_Marital_Status
768805383,Existing Customer,45.0,3.0,Blue,39.0,5.0,1.0,3.0,777.0,1.335,1144.0,42.0,1.625,9.3448e-05,0.99991,12691.0,0.061,11914.0,High School,M,$60K - $80K,Married
818770008,Existing Customer,49.0,5.0,Blue,44.0,6.0,1.0,2.0,864.0,1.541,1291.0,33.0,3.714,5.6861e-05,0.99994,3832.9133995037223,0.105,2609.267761864645,Graduate,F,Less than $40K,Single
713982108,Existing Customer,51.0,3.0,Blue,36.0,4.0,1.0,0.0,0.0,2.594,1887.0,20.0,2.333,2.1081e-05,0.99998,3418.0,0.0,3418.0,Graduate,M,$80K - $120K,Married
769911858,Existing Customer,40.0,4.0,Blue,34.0,3.0,4.0,1.0,2517.0,1.405,1171.0,20.0,2.333,0.00013366,0.99987,3313.0,0.76,796.0,High School,F,Less than $40K,Others
709106358,Existing Customer,40.0,3.0,Blue,21.0,5.0,1.0,0.0,0.0,2.175,816.0,28.0,2.5,2.1676e-05,0.99998,4716.0,0.0,4716.0,Uneducated,M,$60K - $80K,Married
713061558,Existing Customer,44.0,2.0,Blue,36.0,3.0,1.0,2.0,1247.0,1.376,1088.0,24.0,0.846,5.5077e-05,0.99994,4010.0,0.311,2763.0,Graduate,M,$40K - $60K,Married
810347208,Existing Customer,51.0,4.0,Gold,46.0,6.0,1.0,3.0,2264.0,1.975,1330.0,31.0,0.722,0.00012303,0.99988,34516.0,0.066,32252.0,Others,M,Others,Married
818906208,Existing Customer,32.0,0.0,Silver,27.0,2.0,2.0,2.0,1396.0,2.204,1538.0,36.0,0.714,8.5795e-05,0.99991,29081.0,0.048,27685.0,High School,M,$60K - $80K,Others
710930508,Existing Customer,37.0,3.0,Blue,36.0,5.0,2.0,0.0,2517.0,3.355,1350.0,24.0,1.182,4.4796e-05,0.99996,22352.0,0.113,19835.0,Uneducated,M,$60K - $80K,Single
719661558,Existing Customer,48.0,2.0,Blue,36.0,6.0,3.0,3.0,1677.0,1.524,1441.0,32.0,0.882,0.00030251,0.9997,11656.0,0.144,9979.0,Graduate,M,$80K - $120K,Single
708790833,Existing Customer,42.0,5.0,Blue,31.0,5.0,3.0,2.0,1467.0,0.831,1201.0,42.0,0.68,0.00019094,0.99981,6748.0,0.217,5281.0,Uneducated,M,Others,Others
710821833,Existing Customer,65.0,1.0,Blue,54.0,6.0,2.0,3.0,1587.0,1.433,1314.0,26.0,1.364,0.00019751,0.9998,9095.0,0.174,7508.0,Others,M,$40K - $60K,Married
710599683,Existing Customer,56.0,1.0,Blue,36.0,3.0,6.0,0.0,0.0,3.397,1539.0,17.0,3.25,4.7799e-05,0.99995,11751.0,0.0,11751.0,College,M,$80K - $120K,Single
